,audience_count,content_rating,runtime,production_company_popularity,actor_popularity,Main_Genre,director_popularity,author_popularity,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
3739,5131,R,102.0,WORLDCLASS,POPULAR,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,43,188,37
3740,4294,PG-13,93.0,NOT THAT POPULAR,NOT THAT POPULAR,Comedy,PRETTY DECENT,NOT THAT POPULAR,1,1,6
3741,786,NR,95.0,POPULAR,POPULAR,Mystery & Suspense,PRETTY DECENT,NOT POPULAR,13,24,20
3742,3935,NR,88.0,PRETTY DECENT,NOT THAT POPULAR,Art House & International,PRETTY DECENT,PRETTY DECENT,2,12,3
3743,158353,PG-13,98.0,WORLDCLASS,POPULAR,Action & Adventure,POPULAR,WORLDCLASS,19,8,66
3745,1028,NR,80.0,NOT THAT POPULAR,NOT THAT POPULAR,Classics,NOT THAT POPULAR,NOT THAT POPULAR,0,8,0
3746,3197,R,98.0,SUPER POPULAR,SUPER POPULAR,Drama,PRETTY DECENT,NOT THAT POPULAR,10,19,12
3747,1232,NR,93.0,NOT THAT POPULAR,NOT THAT POPULAR,Documentary,NOT THAT POPULAR,NOT THAT POPULAR,7,19,7
3748,85,R,85.0,PRETTY DECENT,WHO?,Action & Adventure,PRETTY DECENT,PRETTY DECENT,2,1,5
3749,722,PG-13,96.0,POPULAR,POPULAR,Action & Adventure,NOT THAT POPULAR,NOT THAT POPULAR,8,1,11
3750,568781,R,138.0,WORLDCLASS,WORLDCLASS,Action & Adventure,SUPER POPULAR,POPULAR,54,136,81
3751,366,PG-13,128.0,PRETTY DECENT,PRETTY DECENT,Drama,NOT THAT POPULAR,POPULAR,14,15,14
3753,175,NR,90.0,PRETTY DECENT,NOT POPULAR,Comedy,NOT POPULAR,NOT POPULAR,2,10,10
3754,302,NR,97.0,NOT POPULAR,NOT POPULAR,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,6,9,12
3755,650,NR,95.0,NOT POPULAR,NOT POPULAR,Horror,NOT POPULAR,POPULAR,2,2,6
3756,239,NR,77.0,NOT THAT POPULAR,NOT POPULAR,Documentary,NOT POPULAR,NOT POPULAR,2,5,0
3758,93,R,85.0,NOT THAT POPULAR,SUPER POPULAR,Action & Adventure,PRETTY DECENT,WHO?,5,4,4
3760,66,NR,85.0,PRETTY DECENT,WHO?,Drama,WHO?,WHO?,8,52,2
3764,79,NR,96.0,NOT POPULAR,WHO?,Horror,WHO?,WHO?,7,81,9
3765,505,NR,101.0,NOT POPULAR,NOT POPULAR,Mystery & Suspense,NOT POPULAR,NOT POPULAR,3,1,4
3766,39142,R,97.0,POPULAR,PRETTY DECENT,Drama,SUPER POPULAR,POPULAR,22,97,6
3769,4124,R,128.0,SUPER POPULAR,SUPER POPULAR,Drama,PRETTY DECENT,POPULAR,21,29,27
3770,19,NR,93.0,WHO?,NOT THAT POPULAR,Horror,WHO?,WHO?,0,7,2
3771,22239,R,111.0,WORLDCLASS,SUPER POPULAR,Action & Adventure,SUPER POPULAR,SUPER POPULAR,40,80,72
3772,111,R,98.0,PRETTY DECENT,POPULAR,Horror,NOT POPULAR,NOT POPULAR,4,10,9
3773,135980,R,95.0,POPULAR,POPULAR,Action & Adventure,POPULAR,POPULAR,14,2,52
3774,1646,PG-13,109.0,WORLDCLASS,SUPER POPULAR,Action & Adventure,NOT THAT POPULAR,POPULAR,23,47,112
3775,68515,R,92.0,WORLDCLASS,POPULAR,Action & Adventure,PRETTY DECENT,POPULAR,3,10,15
3776,445,NR,87.0,NOT POPULAR,NOT THAT POPULAR,Comedy,NOT POPULAR,NOT POPULAR,5,16,8
3777,3703,R,105.0,POPULAR,POPULAR,Drama,NOT THAT POPULAR,NOT THAT POPULAR,2,4,4
3778,2097,R,85.0,NOT THAT POPULAR,NOT THAT POPULAR,Drama,NOT THAT POPULAR,NOT THAT POPULAR,0,4,2
3781,9342,R,107.0,POPULAR,PRETTY DECENT,Drama,SUPER POPULAR,POPULAR,34,97,8
3782,379,NR,100.0,SUPER POPULAR,PRETTY DECENT,Classics,PRETTY DECENT,NOT THAT POPULAR,3,3,6
3783,384877,R,124.0,WORLDCLASS,WORLDCLASS,Drama,POPULAR,SUPER POPULAR,36,77,64
3784,11717,R,108.0,PRETTY DECENT,SUPER POPULAR,Mystery & Suspense,SUPER POPULAR,POPULAR,9,40,8
